geo,urban_built_area_2000,urban_population_2000,urban_built_area_2005,urban_population_2005,urban_builtuparea_growthrate_2000-2005,urban_population_growthrate_2000-2005,rateratio_2000-2005,urban_built_area_2010,urban_population_2010,urban_builtuparea_growthrate_2005-2010,urban_population_growthrate_2005-2010,rateratio_2005-2010,urban_built_area_2015,urban_population_2015,urban_builtuparea_growthrate_2010-2015,urban_population_growthrate_2010-2015,rateratio_2010-2015,urban_built_area_2020,urban_population_2020,urban_builtuparea_growthrate_2015-2020,urban_population_growthrate_2015-2020,rateratio_2015-2020
CIV,178167103.5529411,4751405.179693791,191780469.98431394,5436108.464366078,0.0764078562198083,0.1441054296102808,0.5302219106278366,208005961.9607842,6127347.2697614115,0.08460450627635532,0.12715691931579967,0.6653551118695822,226289478.9921571,6876591.973390349,0.08789900471612412,0.12227880527132454,0.7188408859661733,250579727.40000036,8017119.034862714,0.10734148364310446,0.1658564396267434,0.6471951519318413
CMR,242386052.75686288,5849531.807758435,266393403.529412,7194975.301248263,0.0990459248768363,0.23000874902591692,0.43061807560057647,297723848.9450981,8861263.313019086,0.11760968928131497,0.2315905117119356,0.5078346621885963,328380193.9176472,10801108.373106405,0.10296906035969687,0.21891292376305682,0.470365379026899,353579771.2039213,13003119.937080014,0.07673902918942124,0.20386903713107635,0.37641335962205164
COD,454704970.501961,14917134.678768106,479945326.9803922,17042385.008416448,0.05550930408912777,0.14247041240924496,0.3896198737017606,512081453.54901993,19847279.60112377,0.06695789033058053,0.16458345421266524,0.4068324525748585,550335329.4078429,23728111.019793723,0.07470271690900249,0.19553467763159935,0.38204331739942055,643497174.1960794,29214384.374239136,0.16928196285068237,0.23121407978362987,0.7321438340134667
COG,228543668.2941178,7365725.81746082,234445316.09803924,7796109.503627265,0.025822845358054167,0.058430587403375624,0.441940540145286,241065180.22745088,8647336.59522412,0.028236282300659717,0.10918613844518318,0.2586068406003361,249347387.8117643,10567967.22198098,0.03435671454707377,0.2221066111636749,0.15468569065580676,282469517.31764764,13625815.055878844,0.1328352777085745,0.28935061679011026,0.45908067928858376
COL,420761134.7647062,19254694.793378,452823777.41176504,21531210.92122083,0.07620153098262888,0.1182317430773176,0.644509917550627,491133724.7411766,23691633.50436715,0.0846023315038408,0.10033911195477814,0.8431640449635457,519624825.286275,25693933.42999314,0.05801088198557938,0.0845150641578556,0.6863969466700963,546472634.470589,27889401.353427425,0.05166767998338579,0.08544693748102661,0.6046756209941233
CPV,4444829.31372549,13809.860732321897,4460288.635294115,14684.758979447768,0.0034780461694866797,0.06335315497267668,0.054899336441677,4486901.552941175,15278.58852163457,0.00596663575457267,0.04043849429315822,0.14754841541125738,4515066.41568627,15507.474998999047,0.006277129643424627,0.014980865348940563,0.419009816670473,4528617.427450977,15617.266901824956,0.003001287360387001,0.007079934214499525,0.4239145830254243
CRI,89919564.10588208,1630518.3747089487,93091258.63529362,1742462.2771337344,0.03527257456093544,0.06865540687008083,0.5137625158595744,96329020.65098043,1839945.0493441469,0.034780516056523485,0.05594541327503907,0.6216866409679623,99537331.86274514,1954457.6275735407,0.03330575967743999,0.06223695553854291,0.5351444232649518,103100814.67843133,2113997.4729564423,0.03580046550373667,0.08162870513645791,0.4385769129118167
CUB,101104651.98431376,3657380.3808428063,103286735.10196096,3718165.370335039,0.021582420539717085,0.016619816142346568,1.298595625539203,106185152.08235312,3769242.3045281065,0.02806185109376286,0.013737133533806425,2.042773408637544,110263188.78823546,3829791.8645644234,0.03840496176640188,0.016064119826835473,2.390729288650196,117532757.56470609,3912471.087670035,0.0659292448945233,0.02158843770874613,3.05391459002211
CUW,9092898.325490199,80874.51963060621,13076582.501960818,107539.48952817862,0.43810939415248085,0.3297079230808969,1.32878030366588,16923972.87450981,125155.58266967288,0.29421986761235835,0.16381045901169458,1.7960994028553068,20930260.690196086,136856.65082182013,0.2367226563994545,0.09349217911461657,2.5320049082313587,26876774.443137288,165008.45671074864,0.28411083077080834,0.20570287026518436,1.381170959863338
CYP,35840499.066666625,410233.85433572123,38370312.37254903,443256.70739283925,0.07058532586772065,0.08049763009099013,0.8768621608851694,42034127.054901965,484633.248513967,0.09548566211241251,0.09334667796568161,1.0229144110250745,44419545.400000095,515782.3110788496,0.05674956308673826,0.06427347413821716,0.882939094978761,45761498.039215736,552336.068963454,0.030210859366778614,0.07087051474903387,0.4262824881935891
CZE,103297350.06666648,1955993.797881607,110896148.4627451,2021542.5798129174,0.07356237494160761,0.03351175346378986,2.1951216316118245,117805803.66274509,2094743.9844670761,0.06230744075229308,0.03621066673793887,1.7206929991988225,125048991.12941194,2154196.605984663,0.06148413101448442,0.02838180797197149,2.1663218592417786,133402605.58431378,2258795.9444960104,0.06680273370823739,0.04855607803891044,1.375785203547638
DEU,1740024547.658824,29012530.068631962,1839831202.262744,29582949.841864444,0.05735933710717374,0.019661152332564547,2.9173944709319053,1969137758.6823568,30570202.840506162,0.07028174990215585,0.033372364957486515,2.105986494864499,2069621896.698043,31480947.52358391,0.0510295115578531,0.029791908409289095,1.7128648106994762,2147760484.6078486,33163097.910300974,0.03775500637796254,0.0534339185774787,0.7065737902642891
