geo,urban_built_volume_2000,urban_built_area_2000,urban_population_2000,urban_built_volume_2005,urban_built_area_2005,urban_population_2005,urban_built_volume_2010,urban_built_area_2010,urban_population_2010,urban_built_volume_2015,urban_built_area_2015,urban_population_2015,urban_built_volume_2020,urban_built_area_2020,urban_population_2020
CYP,340914465.2313727,35840499.066666625,410233.85433572123,358642519.8196073,38370312.37254903,443256.70739283925,383302075.80784327,42034127.054901965,484633.248513967,398183767.89411753,44419545.400000095,515782.3110788496,405265282.9137257,45761498.039215736,552336.068963454
CZE,984704957.0313741,103297350.06666648,1955993.797881607,1032512471.8078434,110896148.4627451,2021542.5798129174,1074339346.0352943,117805803.66274509,2094743.9844670761,1117448979.9411755,125048991.12941194,2154196.605984663,1164404212.396078,133402605.58431378,2258795.9444960104
DEU,16332135101.44706,1740024548.4431376,29012530.076291256,17037406246.427467,1839831203.090195,29582949.850804217,17933452048.399986,1969137758.6823568,30570202.85675806,18616079980.337242,2069621896.698043,31480947.507331297,19149531509.56467,2147760481.219613,33163097.894595098
DJI,87173886.21568625,8984793.325490197,423300.870210361,93646615.35686272,9723352.035294129,458998.58885768964,100455982.1372548,10546256.752941187,496012.4580046288,106965110.90588225,11454522.56078432,537554.8887754434,107677505.45098034,11647276.611764705,657880.5923289545
DNK,959711853.7529409,111102897.3607843,1558984.9107741765,992799430.7647069,116609451.46666645,1643089.7021141788,1017265255.1999972,120738289.49019608,1728264.8711595712,1043424346.3490195,125191619.56470564,1836256.5844988807,1067263346.4509813,128903775.84705864,1953371.2632942912
DOM,1123919216.2549028,124832054.46274525,3994289.4462033487,1176081225.5058815,132088765.4588234,4494857.747460026,1247529435.6352935,142595438.0941175,4978489.210129236,1318215950.8431385,153282160.04705882,5373874.407437123,1532068395.3058774,193564839.14117736,6144487.0008591
DZA,2685288532.4078426,279230697.41960806,8607749.09248292,3092858215.7058835,328451954.8,9751661.107265567,3465519630.9490185,375165800.12156886,10896956.493332902,3874603791.8784275,424300918.12941074,12198201.243773721,4097547290.4352913,457295480.69411725,13502856.830724334
ECU,2450816684.7215652,224120462.37647042,5465706.2364262035,2719430614.9882383,250694869.50196058,6210753.198425752,3010586860.1646976,280749291.4705883,6888823.385036282,3243144837.97255,304493625.5411765,7509234.35954918,3405556612.8588276,321846706.396078,8275986.922759979
EGY,6123396104.639213,429174539.6509799,26525742.367611226,7073494825.094122,512213777.3058812,30739940.114053838,7845247463.850978,588010942.9843127,34800272.01727435,8669314778.615688,669523469.9411757,39353900.555993326,10169513400.600063,853275932.7960758,46254190.37683387
ERI,92849738.09019603,9999417.729411758,574220.5204963068,97234518.0392156,10546638.752941178,625700.0740585086,103669316.00784306,11481631.572548997,641619.3754637691,108700821.34117651,12212511.42352941,636661.0678140162,109395730.49411765,12336344.999999994,493169.45853819913
