,country,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_percapita_tonnesCO2e_2015,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020,urban_ghg_percapita_tonnesCO2e_2020
30,COD,4670798.575094586,10983712.638325173,0.4252477034765908,4202731.859576393,14270687.615137164,0.2945010060425177
31,COG,2787772.7547510583,829271.6210761089,3.361712476225208,2589409.783071587,776025.6064711632,3.3367581707083893
32,COL,18663500.24560229,16233271.571883865,1.14970664803807,18029828.23432288,17447495.191329695,1.033376311992484
33,CPV,16879.704190126733,4934.439503060609,3.42079463729508,19233.781782627506,4831.098204365431,3.98124421591092
34,CRI,2864462.5816714927,1277783.2692771628,2.2417436904553525,2783178.0400083098,1340094.799152327,2.0768516091315337
35,CUB,3491778.9465965135,1165307.355871499,2.9964446109456806,3284565.756244166,1212781.8458242372,2.708290668724425
36,CUW,1463022.0502804283,92892.02520174783,15.749705608236651,350107.1430004791,106278.9677098099,3.294227922465632
37,CYP,618089.2277749773,364662.6106159992,1.6949618902000458,618828.492727859,396347.3680724654,1.5613286288171255
38,CZE,4959090.388800824,1264843.554724197,3.920714439567326,4898702.954206806,1335542.2000589354,3.667950704957607
39,DEU,143629154.44101313,18539725.767051615,7.747102424582118,122550205.98662964,18640328.740815565,6.5744659169175
40,DJI,96253.75113769987,265320.50059438404,0.3627829395846438,95222.49484085379,290145.9120727614,0.32818830415564965
41,DNK,4370233.734147817,1415538.9611174692,3.0873284693611134,3708134.4256594153,1527701.7078131363,2.427263389636128
42,DOM,4783890.180713031,3400445.995165882,1.4068419811736081,6701446.620948196,4433811.393481185,1.5114415175171871
43,DZA,11230220.823385347,7814691.22266528,1.4370652023734298,12559591.118495602,8952734.527684411,1.4028776436582322
44,ECU,6432895.874036299,4242689.676032904,1.516230590791484,5325942.504274173,4789985.486382757,1.1118911569596743
45,EGY,53281362.33950543,24258702.401754756,2.1963813833526116,59123057.9757887,28072102.945827264,2.106114318898113
46,ERI,49364.420120863695,145491.07953128996,0.33929516696071504,54777.93643041479,147355.56915944407,0.3717398449402552
47,ESH,3663.9883000459095,168.50260046168285,21.744402104222083,3239.347237131459,181.41067750684763,17.856430953515318
48,ESP,23912623.818789504,15081328.85323203,1.585578038348051,22778800.503143214,16225377.734181581,1.4038995502185263
49,EST,1023683.148371723,277629.0696059491,3.6872332923374365,1089353.8838694706,288410.34305528627,3.7770971468268355
50,ETH,1922340.2159908637,4090114.762768758,0.4699966449571104,2521546.574887978,4723224.061002399,0.533861307937366
51,FIN,5624841.069214367,622751.9036777416,9.032234242876084,6288983.99165975,713972.9725276588,8.80843425962615
52,FJI,213762.43918070264,170850.23955025716,1.2511685072459173,211979.6477156588,197595.8166366047,1.072794208520655
