,country,urban_ghg_emissions_tonnesCO2e_2000,urban_population_2000,urban_ghg_emissions_tonnesCO2e_2005,urban_population_2005,urban_ghg_emissions_tonnesCO2e_2010,urban_population_2010,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_emissions_tonnesCO2e_2016,urban_population_2016,urban_ghg_emissions_tonnesCO2e_2017,urban_population_2017,urban_ghg_emissions_tonnesCO2e_2018,urban_population_2018,urban_ghg_emissions_tonnesCO2e_2019,urban_population_2019,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020
43,ECU,4085625.877924513,2872542.3458003867,5205297.849407006,3230566.165274595,5430945.172841498,3562833.301090431,6539187.527288703,4299563.518123166,6151852.06442287,4499904.356621929,5927047.898679961,4499614.219092324,6096992.4023419665,4613811.797547064,6029635.812414858,4782813.558101492,5325942.504274173,4789985.486382757
44,EGY,29745391.547823634,19164605.75629064,41368920.57238758,20931121.19126559,48617539.36209622,22677553.966792215,57654476.84081449,25524178.513225097,57785184.70352097,26075281.607948754,62076681.89718504,26621533.70570348,64559096.42326804,27099551.095775634,63732680.47921908,27578743.742845073,59123057.9757887,28072102.945827264
45,ERI,40089.259083011355,135313.07668082844,42939.77871926068,125252.52529264157,43636.52529042541,134389.93403309843,50114.27364733488,147319.1399542266,51054.38427043007,153522.38449249652,52818.36434130433,156867.2365061574,54722.853265553815,153641.9839479989,55675.79272050603,158651.18377136154,54777.93643041479,147355.56915944407
46,ESH,4128.463668118369,98.57665680721402,4302.303826751786,122.39502963096483,4492.199012391728,140.50794709703214,3697.6998605184945,169.99113938091136,3748.904605291076,186.87643972549066,3544.150448251395,163.23694563112858,3682.75884956551,195.05406809886014,3782.3648507270254,176.5638422022043,3239.347237131459,181.41067750684763
47,ESP,23350802.76630706,11460155.471705226,29548523.370691378,12401024.858946882,27778382.58235717,13390652.579261117,24241621.44051339,15186775.721026331,24745905.477358256,15399672.12823508,25479857.413472712,15575463.03508472,25750674.9427326,15798209.08857913,26217414.12934409,15953570.966471244,22778800.503143214,16225377.734181581
48,EST,691425.6572002823,276820.9639062232,791484.8771348333,285493.7590858787,934311.5776736508,287246.44356530765,1076304.6112107688,287523.524183606,1037603.9779098064,288010.5963649487,1053789.229267323,289391.808216456,1309182.046630796,286486.8850138101,1122385.9474483598,289906.26462790807,1089353.8838694706,288410.34305528627
49,ETH,1252660.7246090323,2895892.9556640787,1533537.6442238397,3339256.4546212526,1651470.2033841042,3757021.2427395266,2207874.4754683413,4265584.848199761,2372441.5375228203,4382934.283003501,2463564.8471076107,4468672.280514542,2536574.799550953,4565009.108168804,2631936.825043236,4670604.673673079,2521546.574887978,4723224.061002399
50,FIN,6679225.132233239,515886.89700901974,6625373.673304785,551362.4320211719,6836169.859566142,592573.3310447166,6034882.590582359,673267.7167159849,6276988.111783964,684163.4648573026,6298566.161719986,699004.669525018,6507710.5386041915,706933.6621890385,6396095.846903519,714884.6699806282,6288983.99165975,713972.9725276588
51,FJI,315740.1915362049,148482.8265298671,282790.89754149836,159017.26684450975,174589.12686038532,170481.09329663514,249634.19265578562,183657.0644774889,189627.06943481532,186183.53510222802,224024.4913179988,189022.80017409474,203452.37210325172,191667.9641278695,211710.07100907376,194501.27530067172,211979.6477156588,197595.8166366047
52,FRA,93984210.49312793,19262944.21101623,98152193.45906967,19818966.954415485,84310103.8203086,20408397.428423043,72531140.66550396,20966992.716318827,73547317.41767901,21099676.802804362,74190864.45550984,21197918.920308646,72681373.28255908,21293127.420255054,70607577.89636582,21403061.50830213,61966294.18422626,21517015.095510248
53,GAB,495585.0817149364,237109.3721168974,1467716.4414987483,279275.00731594174,2427453.002579691,332810.0801360371,2280906.584212789,405776.2994309987,2314884.133869053,424609.84723784745,2235509.7977472986,430725.79167063645,2217868.583264927,480435.8653744493,2203505.3218150614,466516.6846175184,2172935.8441149,466582.1072408831
54,GBR,119213496.26545876,26546689.96099332,116729631.98265651,27674374.145865984,109088956.52924904,28860939.07365065,90665582.2815113,30036378.981821354,90830605.41123714,30260718.70333397,90518303.79693149,30494391.69005334,91801924.98481789,30747475.31145901,91164318.51197065,31074781.144119162,79771565.27952605,31336772.35754256
55,GEO,951790.7605578816,904087.9560030353,745540.5029514376,924130.272218184,818205.7746543139,948850.2126918093,1163479.9606892257,975580.4728918851,1150380.046215681,977434.861366249,1207727.8779543857,985817.1309670755,1180894.811383171,969091.630209896,1316096.7517845882,982223.7600017327,1283184.8531631536,973577.3066722093
56,GHA,3171300.820868228,3689303.7509546983,3254046.6146020726,4534185.1561075235,4416246.57346112,5468722.599570255,5672278.065844574,6925427.031659402,5817954.344523505,7306931.742775625,5841106.872652912,7472448.278517599,6277144.613991677,7855709.1490379805,6897629.039305951,8210140.362108634,7022740.112569441,8583256.775651913
57,GIN,405435.1153815834,979435.9656358676,459008.78133762674,1125412.8873694895,553277.9452168691,1237366.203137205,631133.072187813,1422899.8451446795,672281.1712086522,1468372.771704135,700504.09064163,1505859.0551810027,717462.0114327552,1562590.3043239284,739162.6825894824,1603949.428906823,737448.5733039441,1700639.0207633036
58,GLP,195787.38113095908,52480.784789504214,217945.97390004963,54359.35520228451,235586.712536109,54379.672824263114,203735.66960216992,57542.72722349772,192978.61378745493,58214.10749924787,195178.16924525538,58681.13197901723,196532.98809982816,58018.4439108954,197738.68489768344,58637.116513111156,168427.60906850352,58474.72206427238
59,GMB,735.5230075389746,29356.94715730256,908.9759893840029,27241.364262016144,808.9496259371015,25877.757201699642,820.4817894236794,25263.773327965835,877.9402787899595,25025.28911807491,1041.2411389570582,24985.27834312589,1778.1170337064345,24894.93599017274,1773.8490249429233,24965.46390071195,1737.2427506195688,24998.193212037924
60,GNB,58376.15044702919,147309.42825454485,67534.08106003584,173771.17266783954,69296.37632311687,192569.45485611886,77438.22934122772,249270.17512129294,80029.57977539429,256111.94039003333,77427.54887037427,260621.16423810428,80068.19390987254,276043.2735739223,81910.86598909201,282244.4698625344,81907.4362604584,289195.30386832845
61,GNQ,422484.0765836226,31831.750156837617,1086263.403863782,43881.77190909956,1362228.0177834807,50044.425746589266,990673.3408364367,35171.50773338465,1044044.345667769,59168.81351929575,962705.9745946126,51439.52857331194,1048539.8736180922,60983.54267639434,910909.7468068849,61041.64919276448,921302.5910487322,52504.25582689747
62,GRC,11136846.032560125,3936691.2495393595,12178849.526320295,3908112.1929674153,10156747.249063332,3916255.2612844533,9075309.18700182,3969500.0681298855,9162885.430942666,3963368.145565303,8970239.087472545,3948504.096341151,8695616.468209974,3954963.8001882355,8567169.90285042,3947173.245458499,7735063.563747009,3941582.3069034633
63,GTM,3197494.334846549,1491257.0986667562,3365007.5758063328,1568584.6360348777,2421746.910256209,1665204.9908261076,2529486.0372114945,1836359.1126317522,2635019.722708706,1875611.1902678555,2632661.6826968803,1899843.3011684206,2753155.077075527,1926516.419039049,2859403.103715115,1936997.9644177393,2673335.0993679175,1970358.141102731
64,GUF,38602.13417889066,31192.947619629875,53817.4524600761,34197.94945151295,53185.00281686272,35592.434661346335,41720.89488685464,39537.62363387644,42998.06484074471,40828.75628673423,43633.028804230125,41729.354687137245,44500.71819923569,42024.09262600319,45292.267001801454,43019.346288911045,45340.48011024875,42569.1231306357
65,GUM,3206.8832080235507,12050.411191268822,3819.365798907702,12911.3898746642,4173.928601239851,13564.885353877671,4806.104994148863,14358.665197041908,5002.911615920773,14359.698026791806,5325.633263561143,14388.008199045184,5576.802614025421,14659.564634512515,5650.5324433144915,14684.878772048905,3101.419290008281,14707.14272634235
66,GUY,292732.0464932409,117249.13984909016,298005.61027320474,120909.34328754817,299399.3976773537,118446.17473918313,292808.1961386256,124030.36396997604,299305.57933294395,125560.66632217162,303516.34882171336,123600.20432418658,265087.25635364535,124000.76002555953,231416.20588653325,124073.6800582896,223703.96132499064,127042.74056212298
67,HKG,60045244.75768958,3350313.0180180334,97704535.58445829,3448511.389791667,132785367.66768473,3560149.8476138003,152397606.5937432,3675619.6290062275,153030033.16612688,3698867.3137229206,157086705.66059655,3724539.398381963,163415725.65845758,3753946.93142745,165927211.2332647,3777765.8546566237,168064266.28066662,3810318.2269596364
68,HND,666495.0101562599,548501.4124776347,1101437.250735586,632157.835000184,1132295.1555656162,719888.028945121,1098911.2071573553,914312.4750700298,1272435.290890656,872568.1772928201,1576643.0132189675,865422.774507929,942813.6540273803,927931.268536893,1064722.220589088,947938.3398418981,1009744.9573134468,959534.4269882848
69,HRV,1435657.0135779579,481081.10300920415,1742075.614683449,488989.73914425744,1718708.463727934,490032.3828148163,1429434.4002088055,548950.9589278803,1443812.19315758,547177.787044767,1612051.8056281093,539333.9619279985,1529169.3434262313,555356.440813438,1530385.0028208867,539544.6698361193,1500353.4224447783,540222.7720212466
70,HTI,1031689.1819106285,1566851.7184155583,1151388.159431412,1881037.4433262162,1319298.6150725295,2167137.719917457,1598775.5438051187,2734333.802559184,1628749.2336105488,2813714.0381088774,1630581.975801708,2919430.3606315237,1628097.6267704351,3016907.71330624,1649172.5873344433,3129986.7186039714,1557060.2269120223,3261694.1512944475
71,HUN,8436003.679710416,2128649.8891520794,10234870.583143422,2199957.902590292,9709435.932041157,2233881.239308524,8636840.635306664,2321006.6101338933,8670849.48215542,2347270.6325575225,9381898.280657327,2323461.6335556665,9204813.222256586,2336184.744594313,9278556.191980269,2338054.4321831604,9065001.495026791,2362553.3977347426
72,IDN,90786458.1932245,40989343.59628258,103695463.9674963,44879055.75401537,126558711.57230334,48910765.607476346,137513356.4665872,56556881.07164282,138021083.13919637,57647118.564499445,143247286.08790454,59318732.763770774,157187589.24805185,59870048.564287245,168611837.71124262,61670105.58913155,156467131.17594057,63347965.63151643
73,IND,161752336.3710359,129869159.59346445,190695076.52638003,141863109.20056298,267741036.4880071,153443894.50693896,284045671.50142807,167712920.09537432,287723869.28675646,171288371.1025425,306336251.9096776,174218217.57064804,322903649.40773594,175801757.2090408,320678918.9985625,177771815.80815777,303357471.957787,180233682.08637103
74,IRL,6640075.047906165,971195.904543487,7426232.29625548,1007372.593833704,7080909.695181496,1056525.5657084773,5383139.46269902,1128689.9650105145,5971381.921903869,1145413.5060331854,6119568.977669447,1165444.520591647,6345291.927058311,1185642.493111867,6339189.452250075,1209660.3401193381,6008059.265863761,1235482.8331858653
75,IRN,63429616.802052684,8809798.82139391,87356572.4694428,8603487.210387679,101273512.1101363,10007493.796016,106527605.27639623,12997856.99590479,108352509.7361104,12879480.10449418,111564221.18192099,13506762.074561486,113995609.51444213,13408674.128084332,113644186.97842799,13829495.203105444,118150909.75819764,13862985.085028201
76,IRQ,14494751.760757303,3036507.7915981477,14323191.489300393,3554518.1983195622,17610055.323153794,4152238.9392180373,19973346.768270537,4604459.183373949,21568151.660366595,4800084.613012587,24074647.773885254,4902501.873785713,25971558.388448935,5095847.384238615,28327111.911378153,5226329.858864054,26041622.803868446,5348368.245385028
77,ISL,256120.58789814904,43045.347949731695,293344.2578950477,45997.1537888547,238672.64962353717,47552.21174691617,259031.01101330787,66373.2263740007,178053.87407540905,70430.64478606381,181681.05163330125,68659.433604995,179097.3734137986,70235.48472978006,174641.185934478,74016.99333133845,156397.2073113919,77012.51867964983
78,ISR,8118361.141910838,1765071.8324472853,8537656.585260645,1914616.339780659,7544768.798312529,2058161.4840230884,8895759.80057102,2296332.390408815,9037612.725043507,2249653.0179918725,9308023.865274232,2242858.9958517635,8730058.481657188,2197832.329132586,8802788.690159006,2184594.5326172495,8279821.510200177,2531085.585823724
79,ITA,53963750.17651325,18288301.50708267,59450975.80444885,18558523.828097533,51376456.64974809,18864075.717932567,42664101.896163814,19178734.179794118,42402964.397200175,19239229.79041315,42250061.832092345,19309530.94943657,42054800.71234266,19372757.756471198,41249912.04127808,19440129.929469157,37348494.34450878,19512150.68441623
80,JAM,685912.188460387,417933.45996373997,726372.200724584,431797.7556926799,544160.7833776141,454355.43863799854,644966.8465495192,476679.95126392646,634474.1041661212,474906.7288175246,598793.8796133299,485697.5102641613,666914.6659778826,477905.4799899117,662106.3216113608,483561.8304893288,572774.1125851356,478408.2263420484
81,JOR,3948769.5089396285,1655995.4743093373,4861296.504568835,1811970.1498356229,4753695.063171136,1976137.4356387714,5286162.298630631,2326735.0793518913,5324994.779709451,2352186.7000049874,5600877.500410007,2446169.9194467273,5434746.537126193,2452425.3478695555,5519258.800611844,2496548.9254848654,5304589.134846369,2541565.7899499233
82,JPN,429647348.34863067,66748297.00451201,432186080.15244377,68182273.11272101,455464247.4495486,69951984.2406094,448264635.29235053,72690883.24197151,421453380.2153969,73384507.68302843,419876863.6217001,73502248.78843105,412322589.8768596,73815644.17358777,400648253.29940075,73912399.47609903,371921895.4247662,73854746.28419718
