,country,urban_ghg_emissions_tonnesCO2e_2000,urban_population_2000,urban_ghg_emissions_tonnesCO2e_2005,urban_population_2005,urban_ghg_emissions_tonnesCO2e_2010,urban_population_2010,urban_ghg_emissions_tonnesCO2e_2015,urban_population_2015,urban_ghg_emissions_tonnesCO2e_2016,urban_population_2016,urban_ghg_emissions_tonnesCO2e_2017,urban_population_2017,urban_ghg_emissions_tonnesCO2e_2018,urban_population_2018,urban_ghg_emissions_tonnesCO2e_2019,urban_population_2019,urban_ghg_emissions_tonnesCO2e_2020,urban_population_2020
93,LKA,3213337.9567880356,2861652.7177217267,3908586.3683836204,2921778.0463166875,3734167.9448086396,2985113.37103699,8026990.822011124,3068581.484447709,8746458.163388582,3082188.0997755732,9233807.99603828,3098842.61816821,8754526.794254454,3112313.493175788,9722626.42333996,3128366.952560377,9775922.812014097,3145988.949701529
94,LSO,119375.67576230827,155718.27338642214,128225.1459665768,160964.94176008765,124007.25944432945,166267.63231852243,129181.76582158223,178245.07139089415,130753.60938686873,179681.03733077302,137239.2415399429,179687.95933753691,136843.10365860118,181168.18530771704,137593.35303324688,183729.15650192782,133536.99934851116,183050.7547911372
95,LTU,2004456.4363927138,476459.5994629682,2516120.161828994,427195.89052941906,2765391.428469287,395240.7620126583,2746501.35742014,391205.8620964851,2631770.281920991,387446.6533078837,2745484.852312865,389587.4303640881,2683986.39757156,381597.15875340387,2611782.668119755,378962.46732150734,2685228.897270483,368757.39369345055
96,LVA,1853849.7497028278,243100.21802079407,2134607.772675402,282337.5101506879,2678232.4606474144,301712.6164063163,2419052.4163584984,347557.0783566556,2393781.7105120085,349336.04327914736,2225330.4853456365,345567.6056734394,2556470.1373066306,361458.10242958524,2439616.927833629,364386.8415855699,2119566.186849635,374853.3836075627
97,MAC,1532991.0719869896,306391.00281366834,2451755.8387189354,328464.06483238813,3076552.082434961,351748.3467760422,3661293.530274565,379770.853537915,3648969.8343692855,385684.05354116077,3848989.4924786934,391326.42333206465,3837445.196429234,399052.8968606239,3906882.5250874944,404543.4914887223,3961135.19197758,414895.79625734803
98,MAR,4445064.9303823775,5550770.406631121,5432686.733779873,5997125.129741667,6222898.525044383,6584202.456909631,6250262.855587999,7443279.069983069,6264850.384285625,7621374.002214362,6561029.322155164,7716674.8021770725,6732553.113031934,7839068.642623619,7199836.288721685,7967545.791184645,6929997.345203992,8107640.545303803
99,MDA,592170.8442716859,308689.3255344291,659399.102690696,304207.0924383083,671369.7317620735,294657.188085627,643217.2198564804,284531.1056980961,645375.8884657772,280734.58004431694,628577.6932359283,281674.8928236381,665563.9842070679,270110.8927335564,679080.3794158632,271395.35908736254,686161.6935088745,273998.6657920104
100,MDG,384102.4524710976,554294.8116629113,427171.2859849636,681080.5303568863,546075.8075571543,831898.1276889683,654129.531658128,1060961.326683532,671726.4972178594,1093262.1417459983,678683.3358198495,1161494.0746742303,678000.0409285243,1205841.871904708,723022.157788048,1260104.5489042094,709833.2502105314,1321337.3003745612
101,MEX,114396806.48313944,45402383.75309094,130736744.4523905,48783164.94403709,149042641.5024388,52740180.342646554,146596164.59825417,57792135.78788022,146819441.30848324,58890674.1780976,153262725.001993,60047913.314985506,153089539.8788692,61262168.831744164,150277979.64792764,62548119.61500096,136189880.4002228,63910627.44140785
102,MKD,396383.16875514097,138234.10825644372,463735.69164129783,134983.82440129077,458574.6109349914,132105.6854974331,432599.4989820242,156528.39315961878,417821.51362193265,148993.539329741,416480.95475587284,143736.67943437706,428217.47675332776,156079.063753618,463962.26738037576,147360.33392511355,435221.81409735343,152258.6017363422
103,MLI,316028.53063534194,1331822.4826058154,381523.03253077785,1774654.7077224175,591406.3673091369,2374256.079827866,798633.1446811699,3329679.3849220485,884212.5056072797,3572555.8416146794,960264.6972087378,3826923.0669419933,1008060.7123751659,4078842.145944205,1069976.6164492834,4410311.807771621,1050711.4590702015,4704950.101455961
104,MLT,477077.0517489574,201052.94058048082,577936.3999229881,203361.3406903674,585615.258902005,207241.28154279993,412024.3186732583,208973.74754346188,368711.2972679355,210806.15078514558,411187.8945543614,210523.98959979427,407197.7843618551,212024.2243339909,427586.7745347772,210520.74074825188,378848.53129097144,211830.16207062535
105,MMR,1915181.5773162409,4374729.043535179,2079008.2217046346,4688544.915303637,1941912.509852792,4897111.313648446,3756291.9367920905,5300037.487401229,4493063.352289989,5402416.998394212,5006528.597703582,5452401.902837093,5208794.6518008225,5508429.557671337,6047347.862310517,5502884.9670212865,6123359.429487845,5596362.550392286
106,MNE,66634.89676282172,27668.784568598672,81931.12818952701,28119.59716561169,100951.17319272172,28470.12412415957,84687.73142912178,31082.25887762238,88730.08043235853,36021.53213296644,89790.96361083159,29164.387743490825,88922.41531974202,35618.08857702178,89524.09614348893,36068.119057715194,86060.52532119211,33175.342553901595
107,MNG,4242992.6073688865,296820.4572874888,5068673.559390501,359006.0866042056,6488133.403893274,419779.3113343509,7978692.355746802,585558.48152216,8322213.826785904,607771.4712678024,8862333.812108092,612517.0746644316,9619819.83414035,663270.8064534757,9820887.902856743,669029.3645298652,10256684.624154575,732657.95617364
108,MOZ,991424.6321387062,1908287.337067901,1413009.8855226077,2326018.3600344053,1214692.1974715241,2653617.9901096397,1931930.0749834091,3138698.064766255,2187778.5351682734,3213253.1251551225,2129590.0606614337,3270338.5107801124,2031201.303241345,3374390.399590965,2034954.851208701,3538934.284321807,1995472.0289889106,3637422.383540482
109,MRT,287469.03789640416,400733.0054625867,403070.92673108296,502022.3683854798,457066.83339225425,626215.8059089214,739850.7630876926,813445.3171282833,698220.8259974,852503.8465847479,929271.7597161446,890132.5530667178,977821.7024679501,952965.6670408082,1030607.1753089139,999288.1675592479,1021674.990069182,1042131.8645120907
110,MUS,603240.2247230028,362589.5172384666,647127.1606311267,364585.7557399377,583357.4876184079,365487.8029778894,663283.1235454197,370976.4575247629,646719.2582258112,370924.9427704654,653249.4192430435,370879.46942562854,632634.3567376499,370932.53850521555,623411.5804467344,372168.76429116284,562288.5895577959,372017.6672498484
111,MWI,429472.58084118826,831750.9151742959,529073.8032335961,982818.5588169417,614970.8197027065,1177601.970064823,436469.42860477604,1430803.7245636652,441049.8616895842,1490791.6460407134,459130.66386215785,1556134.9392073771,487252.0952569463,1630346.444999224,497738.03407855635,1707789.7926913868,488919.45883313793,1793461.3878835926
112,MYS,27594833.118019633,6499473.594115067,36455134.35291591,7445192.724955622,39403111.18470793,8736391.122308081,41878057.56867485,10298324.098422553,42063199.52233878,10657532.954130476,41218461.772346675,10924802.326737925,43147884.576089576,11214406.267263912,44542574.55164456,11516670.485344855,41114696.09730833,11880750.538766898
113,NAM,87702.29317112283,191405.08598016517,133203.59669841538,220245.32707578084,164835.1077594338,255292.68016268522,217457.74755685558,297811.7324573205,253835.36987134747,307504.67032869306,268580.19434001565,317473.9657125465,248474.90171595762,328044.72800519667,269553.996048196,338790.860957465,274411.6078644826,350551.76097878546
114,NCL,197954.86034102464,33018.390092759015,239176.08478139885,40887.879983901024,336266.4276517177,43141.00087243739,370882.99124634115,44685.77315147439,385839.2475520959,44883.75378692541,383062.6847502242,47207.89667853426,425715.84584900056,48499.63440682368,447268.75307209534,48632.47812310807,461986.06108049036,49640.012669513744
115,NER,139245.2795401395,414067.94892086,155894.51825224597,533017.612504459,186669.96011698226,617342.3964912605,273125.6508369463,794921.7905360103,298749.8667855055,801076.1218579571,294968.56447012187,838585.7235810196,289198.0033128239,926436.166845212,313157.0047101019,932110.9726156445,311930.56684688554,963982.3780151185
116,NGA,27158203.135559224,20154966.807277255,33151728.02105578,24053006.69137551,32268965.20629054,28544958.68245801,36444783.27918519,33002028.3367462,37925923.65967128,34047475.14411469,38318257.66519433,35287978.352229245,38997601.73206902,36518980.8593645,39904566.4628936,37211558.53519136,40170386.53667918,38559877.817917585
117,NIC,876212.3978224183,564681.8040630909,741663.1833395313,596857.543526973,797277.920378889,625969.7797464601,744270.2197609147,727066.7818937263,745365.7670992541,702134.5074993044,731224.2384580901,720508.8573960679,709688.3679278825,723872.3044705358,719046.7869616335,730823.9857250765,649163.5615538461,738819.7036237804
118,NLD,35984833.05066369,4456457.771287067,37005242.51334979,4770933.596881298,37266572.50082174,4923637.664335106,32633107.003770046,5254626.826992789,32900590.50072966,5324872.461347582,33352207.080367427,5288610.579001266,33120943.210210096,5363509.749936037,33210851.065407068,5492945.670887821,30110746.40446863,5389908.442871397
119,NOR,2793931.3149127173,401804.9805860478,2976585.6139909863,452074.75280969916,3486491.9986914257,498390.1874886669,3366141.508677743,623985.5283843076,3307114.2090563355,617975.66228841,3354521.321981364,624304.5114183675,3298881.485908367,642023.8810412774,3259880.3324729768,654587.1051735836,3137476.7222076254,676270.8559023723
120,NPL,689001.8719871548,934934.0362106761,754048.5129851355,1322270.5865464238,1297340.6186322041,2046107.7485974785,1436044.167532098,3553058.3412198457,1617940.0848177215,4016321.9134421255,1759750.422243111,4492342.777314135,1936078.7515565697,5109376.103430403,1843442.54402391,5795653.35143969,1830179.397996947,6631707.736926091
121,NZL,7835198.105538581,1536474.55889104,7475596.441587267,1605398.2811416872,8312177.485479626,1677972.4467157023,8000457.021537384,1754101.0538034458,7926339.350925777,1769661.0915011177,8171188.457559053,1785210.9756249147,7859655.98496023,1800991.345373455,8152282.822943906,1816889.3315447173,9456711.441528976,1833223.2670674892
122,OMN,2625769.534307848,35924.52208708431,3094528.469248053,34510.40028639677,4107777.633036657,34131.97498820268,5321004.418722872,35715.83872981063,5491837.229544782,34088.07300719609,5162909.559245305,36540.30012115762,4545893.481434939,35285.11986735397,5110066.5324355215,34570.175562088356,4932905.654760213,35913.165288786586
123,PAK,21034715.939475924,22627119.834513422,25262253.534213405,25564762.898245502,28981560.7204649,29277687.620729405,35296444.65917908,31613067.97945761,38941852.307069995,32626169.39795671,42869032.407603756,34151165.1013254,42674481.142509006,34800366.24539038,43274779.88512841,36184660.75769759,43402690.147516936,37606712.335354045
124,PAN,1075003.2615931742,775503.0922520349,1378773.3777879837,868781.4706604772,1520430.780165423,981068.5071637796,1886521.7604608873,1132570.6553480092,1881641.2749611312,1140658.6537067357,1822516.9678600891,1184342.6663150846,1727691.6751831723,1192820.2488676065,2281960.0241993135,1224700.1786768974,2033748.0190535649,1247884.7161906608
125,PER,7285798.74373162,7804325.010566624,8096620.785741052,8615506.01890653,11457839.934469273,9692496.933025442,11688361.173881715,11375239.922768107,12050727.744636802,11751451.801280206,11179788.613965703,12001480.99188973,12087408.72975615,12299002.76844054,12858990.20912263,12592773.611569984,11360493.105785074,13017714.642079469
126,PHL,11849766.442249533,17637096.71741282,12811821.939539589,18889657.276175734,13228772.563219493,20458247.650130708,15386970.995532852,22239217.080674436,16418636.566408284,22621701.52726753,17487856.269873593,22987572.59357381,18065110.169249915,23428277.07828004,18222418.383481424,23846113.628095035,16826092.07379807,24314513.951123655
127,PNG,165037.3412640576,55321.96185314467,270479.54193285934,58078.22511025737,172816.78048496973,62383.69059856073,222292.96562167048,68338.95596119469,243533.3658771668,68709.17125735185,237308.59268441415,70860.4055378779,232130.59577699009,69386.28200386738,241078.1422262569,72304.38966643618,244356.83771937367,71813.43234714153
128,POL,48056876.66501711,7170286.066565852,46759635.98483665,7280034.32641889,41659084.638802245,7273607.222027288,39118998.24996102,7476346.572722352,39380186.16588088,7446852.45182764,40471326.92958436,7434512.105528029,40330202.12678924,7388619.31634266,38090706.054242425,7416525.234561309,36281675.99494342,7382230.269079656
129,PRI,644780.295216549,1255497.2563499203,662171.3361515617,1225206.6938837685,615439.1773833323,1196366.5169400796,733006.2719145876,1168195.1635775426,737308.8291694474,1162652.4527222635,676771.0093649471,1156932.7056665951,675655.0813547556,1151492.7467598685,675232.295546534,1146075.381735517,631126.4777255578,1140765.5573371125
130,PRK,7788197.242243564,1312614.9991988693,9256174.366526123,1291630.793674704,7487399.114449576,1271986.7866927723,6052784.025265236,1219461.296825751,6460662.432411828,1235834.7893040215,8183176.86211528,1217419.9650789725,8082625.306582876,1187617.2252512663,8579862.566844344,1232001.7522627085,8808831.315016177,1195568.4233241384
131,PRT,5913052.753171591,2803453.882344682,6087425.265486579,2814160.604675312,5680610.155667251,2829339.027004655,4948898.549423676,2845931.55022901,4905997.617507649,2848271.044950337,5028913.343135652,2846014.978593012,4973663.929786455,2857046.591298133,5020235.028411102,2853867.987328647,4725352.6928464975,2865940.9094066434
132,PRY,2569366.6097110864,1415210.7526389572,2404295.4290877646,1548435.6720885846,2827681.6654006257,1708499.8113419604,3061779.5877923793,1924770.4874839296,3458948.2245664326,1974840.940843622,3563133.5697086966,2002678.7131401163,3599762.886303709,2050227.4097951574,3574097.5571558718,2090935.886350277,3540076.4222953436,2122212.2501250496
133,PSE,4071354.9031296386,1631562.6910975145,4397363.362641595,1851287.1572030582,4832559.590133206,2174778.155858971,4493664.401123412,2477109.658398129,4354981.630319361,2551172.852410513,4388654.423403529,2625621.6517314496,4338316.570196105,2708302.422241848,4408897.732505194,2772996.2930311663,4225892.289054859,2883084.749282696
134,QAT,5883849.241270569,237091.7677170435,8624980.688508583,476555.91760606796,9738421.39699714,957673.7518112065,15625971.573471654,1925070.4723103535,16097209.791258378,2216104.691674721,16067448.576707108,2554415.866167135,15810846.423074273,2917847.3511321647,17303929.819591954,3380207.065283924,15180940.970672794,3844046.279213494
135,REU,77450.45377449565,44989.69608669941,86267.56919583795,52918.56609622263,68088.47224953533,53269.0738338556,65220.68451220943,60665.30230939899,66672.29805551871,58999.20671130359,67863.16121079716,62883.47348471542,68806.69990926418,62679.83649405496,69073.99719007037,62508.384771781944,57819.12098459125,63148.50782904432
136,ROU,17724218.235764384,4426188.647317928,17371769.71980555,4357431.000956953,13863421.525502145,4348448.445298498,11033629.789330957,4298812.141307267,11038915.33514452,4258497.6072933655,11480902.057108039,4283924.070167685,11439835.145803932,4258918.587762033,11070279.41656758,4237932.6832544245,10622158.205148615,4178377.0790020246
137,RUS,333619384.1355344,39646885.617631294,342101901.98766696,40795728.6171492,359624690.88026917,40935645.55886207,381046140.77862495,42024638.148246564,372815266.2832771,41737583.37204636,380352580.79977787,42297153.26488858,393577218.4507694,41836556.38295452,413100003.2552564,42436286.574972175,395039772.76790166,42266695.451324284
138,RWA,390316.9133842372,478998.59928706824,440513.91012455407,565599.0317897336,458121.41245260334,670371.5666427339,557233.177592386,825267.7557642038,569746.940274853,868622.9662694107,523736.0398249945,905071.8026043525,539687.1761604005,946431.3918166875,559967.5512234333,995644.626880541,535234.779320217,1049697.898234345
139,SAU,69905737.54286793,1985553.4286311101,100932132.5627044,2280181.2146723117,132943692.7533752,2786665.163330734,162047185.51199624,4037051.3232327355,162422214.85492757,4357792.256113902,162054644.6457559,4338052.63535461,156219635.32235298,4582008.836970089,158035896.03094056,4535468.184642994,158399276.27458715,4749891.922243734
140,SDN,3837160.215576985,1835795.1670334104,4614682.382353878,2146907.4624650613,3959681.0695103966,2422358.17240207,5125187.655145219,2625569.521677306,5519578.898597794,2757449.541239051,5665220.548298959,2783783.5666294433,5788538.447064133,2817366.9372349684,5855187.139277312,2892968.107811354,5475956.504490627,3031093.885160139
141,SEN,939818.4999439566,1701585.043376081,1174538.517378358,2051550.475493609,1703781.7074877464,2349307.700245364,1835849.9935092705,2743948.7158788648,1929601.370187478,2831619.850842186,2024918.988955087,2873737.439993579,2069298.1935779646,2937730.1961285253,2394926.969857405,2968040.7038753442,2346029.489309411,3110170.899919745
142,SGP,29400580.97510828,2348678.4489529384,23928419.964731395,2556936.2006739015,27623962.667083923,2747571.8687673244,31214781.506085694,2977201.397291934,30414515.424086675,3040209.3363796864,32860012.98531408,3105649.630348527,32079641.36981475,3162595.631663797,32334782.90958547,3212325.8337787124,31236744.803709112,3294825.436445016
143,SLE,269202.00468101725,777400.8035862776,316991.7987441269,889760.7353488242,321059.7516936136,1019620.902915245,433552.8872201873,1185107.1627479398,437217.4946657928,1225277.0576235452,430861.93132523494,1242047.0161702218,442394.214217685,1289209.216454147,439958.8903698207,1318599.3853128613,441412.5934011693,1362096.475469473
144,SLV,897237.4516599923,952692.7075084809,1093787.705591083,932587.3906370731,968327.0963591125,912575.7999406514,690334.8908691105,973583.3058195232,695159.326282353,932823.7082048515,673745.1596665828,954831.8332131514,712638.4165457526,960175.5188280478,787099.9623443976,960507.6991178916,701580.9008193377,957445.5670285359
145,SOM,475372.89847112354,406927.9669238657,595918.4800678564,437446.3124589337,610904.6901161902,516338.02659969474,686718.4657290198,508093.07756986754,715004.7424727037,508207.96691067313,727944.8592176284,548515.0749888858,766043.2639739398,545311.3079274689,798910.8588718029,566942.2155934697,813053.2650294646,561821.2454733829
146,SRB,1266070.7267961185,1199220.010863637,1495266.6050604796,1251003.1501900756,1730622.847999559,1304445.8694978398,1488934.2831159518,1354889.2100272374,1556451.9816812957,1343734.7423483715,1571394.9886888145,1349868.1223647813,1575200.3415081,1360654.2892568563,1548551.2279008334,1365712.8827293816,1500157.6015172238,1367458.5496434812
147,SSD,210811.78626726894,6819.699958355585,239464.42681491046,8398.816824323756,261859.8408190289,10037.798703718781,274587.6499175419,10415.061513150209,284625.5633772079,10167.534235900639,286678.9523446427,10468.874188229496,289453.96596448176,11074.492423409578,292448.3654308098,11240.54459614007,280685.1369031579,11932.18136283078
148,SUR,327686.5899661212,155953.96207032574,347232.69201961975,155346.7803061332,274333.3921722707,158239.71406831217,443365.8204300453,163696.77634558533,418624.7096063294,165923.62275714704,371301.109193876,168077.28821598008,349858.98574481654,169529.9807340566,390116.31397177064,170886.02501944403,371970.19610267814,173250.51980703705
149,SVK,6488003.090131905,391382.75889943313,7459418.721713194,391275.2136145546,7046764.8336050175,383381.859774918,6974629.579379762,383354.38810730324,7019609.44204988,380792.9222789684,7261843.241577812,378907.8068329169,6956595.703128366,376774.8501086629,6400854.42196825,373252.6611444867,5844228.557724701,375970.01682440506
150,SVN,1156155.0041408138,180211.2917773693,1185007.779348915,201752.4279056574,1231935.5177078315,209384.4258583442,928718.4531975212,217452.53904889608,944843.6856875818,218201.50835316067,962334.5993778992,219105.40533903232,953876.4607383823,224294.47948322803,945352.6824660365,227103.85135459082,878885.8868503594,227085.72389260778
151,SWE,9760260.963311544,1522878.9791003887,10829147.263843784,1663601.4731759552,11327250.401181975,1791837.3970960672,8984377.38234254,2001912.631311055,9305670.733931432,2046553.4297112986,9367730.429957328,2078651.7562198152,9281948.75954833,2111954.0663282834,9279330.167729268,2135851.996913422,9099582.79968057,2186205.113180636
152,SYR,5416891.336503505,3052979.580275765,7612872.171682053,3797023.699512469,8330939.889232428,4303865.265175766,3890261.1919120005,4883815.599512974,4340977.0837416155,4867239.737515613,4653871.591914939,4886880.533144713,4320863.115538129,5196747.520676715,4097329.530750638,5115635.365912453,3705980.564516713,5473805.627952864
153,TCD,261732.51858185942,339519.8909812643,304943.3487873842,393076.141022521,290000.36420961545,480474.2261739415,407296.8207341504,559853.6214439059,415797.74946994777,590606.5691702906,506363.50466325216,616300.1499356163,526892.8701678377,637150.6755722906,549819.6386245984,652046.7025463169,525019.0824693784,672088.40694985
154,TGO,575453.2123376658,770376.9801982231,618229.1915181387,932365.1395681693,811638.3334179468,1171669.4888143507,899043.4976235369,1512259.671432535,1171681.299170644,1617434.7896621693,998535.606272166,1721790.173836395,1036211.4824151767,1828518.4662830674,1030542.0402053861,1930825.2482340916,1032966.4952397327,2062064.23887137
155,THA,35570740.23223538,8924902.107054282,46665159.26985166,10621029.885714166,61976655.19145519,12553689.249878014,73402370.12024848,15136715.012436446,75765316.18655257,15614644.108237859,74235537.1330464,16269613.833669545,80259471.65857811,16693847.462515859,93725532.76756407,17308303.548521668,90247606.35624683,17919799.652486376
156,TJK,475849.5598112165,759367.2603252953,544669.3885820379,897828.0252220503,557738.0626808496,1012633.7523998998,740050.9347168525,1145590.719437919,891839.350828272,1184394.9511183102,1035204.8312531944,1196849.9993033577,1130008.9753092786,1216004.0303418762,1216083.7165211372,1260076.6703513935,1142796.3046476548,1283134.1028322037
157,TKM,3616679.4417495937,524323.795125031,4724646.803927076,602365.2184434357,6190038.333864298,693429.992206943,8257095.925303373,835971.9508036975,8237581.189035362,959223.3292261848,8281322.904911933,954170.6622005526,8292786.339775692,974515.8426538679,8339481.244113225,1042517.9642775917,7881361.604766205,1044095.458709178
158,TLS,6332.6579287211225,75785.21477444877,15868.399538762797,96919.6085458364,16597.973091950535,125819.35766714136,27388.20335171944,177434.50384019187,27263.844344796125,187611.71936771157,28026.343587185547,199455.86892002673,27124.977303281546,209950.42922205082,27893.844793963493,223060.0461934523,26007.684139549554,233984.70913628972
159,TUN,4414086.577300148,2042786.256941347,4986505.652940122,2183142.326632548,5765141.786550669,2349186.6165728346,6237018.609155931,2596714.207398797,6049056.761336777,2665666.8781106356,6140366.125921851,2698670.805718402,6213905.275816652,2722629.8661716087,6326816.577600604,2806249.0848439527,5944938.512426905,2852766.0839415966
160,TUR,35569795.7490147,18393595.804495312,38038741.56931922,19895743.0590545,51203655.62604985,20892231.471595686,60974184.14631172,25495032.903938174,62241784.13144643,25638560.46792989,69188714.0238969,25860336.553549998,66984428.722012945,26667212.23305346,65506095.15435277,28052510.742728345,66798535.36406055,29095983.308031574
161,TWN,60102475.82292158,11136077.665835489,66543999.15515675,11638194.728179978,67646497.44155484,12256369.099544166,87111750.25099544,13051962.144650426,87890388.37991092,13172909.353592245,87540976.07697138,13269253.548680907,86534638.85130537,13365691.361510968,83433752.83529826,13435329.693579786,80052757.04152845,13527673.958181757
162,TZA,2670670.4300861643,3752763.968400484,3531142.880364082,4719707.502668272,3709460.398489609,5937290.071912665,5089015.148156683,7505811.880191418,5060228.357140154,7852155.923585327,5183734.303357751,8228103.938487699,5441442.170467336,8612237.809254559,5580438.82584491,9025246.172744911,5463757.415728892,9453795.680568753
163,UGA,965273.1025139245,1577641.0252975633,1185699.4134219757,1900633.3245220426,1282649.5503787987,2288730.2221771,1619217.0897009857,2793850.1797119915,1709131.0674917584,2919118.3348529204,1910171.1570773362,3032836.0287551107,2074342.6578926372,3145717.419597077,2509363.0474051507,3292863.7974837446,2490176.014281606,3420666.9432869647
164,UKR,67414986.26482128,11286847.803062033,68345270.96790163,11079815.541230233,68116240.2095378,10771368.169636,46828518.629680954,10986303.364970507,44211693.45412073,10995165.155030837,40699664.06963932,10757929.48132359,44420311.593990736,10913977.378577359,40976496.37530451,10926160.049712282,38872238.31655801,10846989.047494378
165,URY,1708918.684696094,1367824.274912712,2065888.1823248877,1378377.7646594488,4234538.526907912,1389053.6827720357,5940856.335337404,1399143.7150986467,5918333.560933723,1402168.1556873557,5718486.065605439,1404032.9672526303,5922887.506782519,1406893.6273516044,5963550.35459201,1409679.448109659,6017933.425581319,1412524.6053892644
166,USA,1085027878.8194158,127728185.0668731,1057961848.755969,133723898.86223629,981447989.1664045,140992177.97297192,968989069.094933,148411106.25762054,960345506.2281442,150017687.23227024,954449224.7460383,151639098.89911568,1012830393.819492,153307986.93004107,1010723973.6293534,155015867.34038725,929811665.8285135,156831190.5136269
167,UZB,27159500.946901172,2528314.8514610683,26142149.53395837,2513172.0618951363,27482036.53544898,2642710.6278575007,22691539.410780955,3139719.9388207817,23808828.723822244,3842211.5550571703,24813402.78533661,3936210.064472925,25313428.674467996,3585347.0842799786,26413505.09986288,3920625.9889902063,26017346.594352297,3768453.757936079
168,VAT,4980115.763172305,586.5389459133148,5632904.694568695,605.223433971405,4789383.910412363,612.4304661750793,4096517.563738581,620.1342856884003,4072414.20164977,625.3613379001617,4053780.72529891,625.3128762245178,4065682.6559645985,630.7050149440765,4006714.225420156,633.4628472328186,3610639.017917077,635.1771292686462
169,VEN,21578641.624976166,4513403.818703502,24093574.728212994,5005568.099402188,25322982.191875394,5546721.805404545,22630543.05946605,6733543.992199221,21111521.320411127,7002021.942374023,20284359.028337482,7330591.597842874,18904348.41372594,7016240.619036984,15891737.476572132,7375413.271075798,13797029.959684582,7412169.525362411
170,VNM,18472059.669475943,12489303.83472254,23227131.735432066,14404987.759816656,28501632.75911524,16448893.580237938,38525594.43126883,19162431.819587458,31976990.276070375,19715174.362187922,33733687.62214226,20302275.302419372,38282485.705169566,20782606.079247184,42498401.42590386,21349861.58980412,41465121.21396549,22020088.05991961
171,YEM,593843.9433047544,1443578.0436035967,817893.9270659388,1704064.9897561967,981625.6817948824,1974043.5700095776,684724.670543121,2362968.372005927,606663.7831362508,2384599.5333844624,596773.6888333175,2432844.068747917,595018.7185250776,2489355.005176165,645127.4663118012,2560752.502384021,609767.5834118442,2647688.0231313496
172,ZAF,54383822.67675197,13820514.050094618,67572225.88677584,15558050.034149222,62429055.19507814,17478702.19381755,64422636.99725082,19601310.63037007,63415474.631283976,20081602.209527716,66294182.17356576,20561647.636179686,66092062.215089075,21049238.08345022,65826526.94991361,21547575.537772935,59512962.444856286,22080240.710069552
173,ZMB,1420792.6404407313,1217665.4362056528,1607282.1384070613,1477592.1711948807,1715486.287246672,1848803.2753033165,2225392.80198109,2463788.3337888336,2333748.7963861832,2586369.1421632953,2580149.8087779996,2718381.5124816783,2769094.8743257415,2816740.194888024,2709890.9921700447,3001299.4715401246,2675071.6401130673,3107593.806670256
174,ZWE,2773101.5259681866,1421238.845710924,2416239.4048870956,1501299.100952648,1704147.2111795947,1563989.6619855294,1939827.8273359144,1710269.3477857097,1818894.9073079852,1713681.846829465,1789740.2546805076,1731453.5502798995,2008829.2811144707,1733754.5277779242,1945136.7216778423,1771482.710206863,1883100.6459067021,1753486.357575059
