,pop-averaged_exceedance_days_2010,pop-averaged_exceedance_days_2015,pop-averaged_exceedance_days_2020
GLP,114.0,139.0,116.0
GMB,333.0,346.0,336.0
GNB,299.0,302.0,296.0
GNQ,182.95830622349152,219.7457929859749,207.17166463891812
GRC,211.01818500567668,149.71272663112163,97.1535046630456
GTM,334.8588375105398,341.3126422422383,333.3217986003002
GUF,80.6678001859078,169.84626133015504,135.84015626561265
GUM,2.0,17.0,8.0
GUY,124.12358868547008,185.14132804309784,157.27386389780037
HKG,364.9759679069956,364.99573776142125,365.93998683551905
HND,139.2940298159269,174.63450752990386,168.61502397661513
HRV,223.612258795719,214.30635742327857,143.49644251220369
HTI,308.18617744729136,311.6068515616974,297.0292707579375
HUN,222.61066941495451,191.3925652801934,109.09631044075452
IDN,329.8577064571955,333.9529378079848,320.0122243105324
IND,360.36639221821036,362.49156212167316,363.08509370126103
IRL,17.19899464662557,43.09570029334679,28.670459647174894
IRN,326.71237599934153,305.9632294082563,338.4055330659407
IRQ,364.64590589730705,363.46321201334564,365.261379447154
ISL,8.777348899562297,38.47619393854702,30.022100724125202
ISR,354.21048149086226,354.2346776224758,352.62398947201757
ITA,275.70712736611165,261.32830939337305,192.9796895289643
JAM,180.2026345799412,194.99417241749745,168.91408545924963
JOR,362.90645884924794,363.5376801971457,365.9289566107322
JPN,297.95798481882497,257.69604033419586,188.57949610300156
KAZ,225.28810499769997,200.73736276964695,208.4470158404229
KEN,328.14674147999364,330.1100825703295,331.1978606033005
KGZ,171.41041785331458,145.53064673823926,167.85791933467297
KHM,319.97420899780883,298.77530451818654,309.0293657945004
KOR,362.1091731615694,361.7374625030852,361.1061335485108
KWT,365.0,365.0,366.0
LAO,349.7192264720856,324.53366746536926,327.94761414873176
LBN,328.57204919985105,328.3460528587441,323.2482776704254
LBR,193.29546227770112,213.08495480144705,222.0401377578687
LBY,304.06786539639467,262.4538450682672,291.19939121855765
LKA,345.59763240677705,337.6763301128194,347.3328149861158
LSO,134.0,103.0,115.00000000000001
LTU,130.54394332268612,101.51104203486723,57.71897747394342
LVA,184.0,147.0,69.0
MAC,364.99999999999994,365.0,366.0
MAR,200.01363088614934,243.73940552017464,253.14698336384623
MDA,130.70129877215092,113.23134759058833,38.8732271379582
MDG,120.47334608212796,129.4962569724927,83.15112680171319
MEX,245.67933544307039,249.40477511856542,237.46675021656515
MKD,190.82233344250355,165.48227811372956,77.24052856305367
MLI,320.9201745093935,323.67207493285844,311.20459501426467
MLT,182.0,138.0,231.0
MMR,284.2226962085867,290.0928661004017,271.62765541586356
MNE,96.0,68.0,39.0
MNG,113.04334039689385,108.90680864830601,80.5533176959647
MOZ,133.64937937858042,143.77239824972224,129.32473333834224
MRT,362.0,365.0,365.0
MUS,28.0,39.0,6.0
MWI,288.0022159804978,269.2318245051796,273.1320541079248
MYS,321.3456358949407,333.15806690294005,305.97221899394054
NAM,207.0,216.0,245.0
NCL,8.0,5.0,15.0
NER,350.24281030226007,353.8101509415833,347.416786608376
NGA,363.18098297296825,363.26499442954326,364.6268021551464
NIC,129.7354602806261,172.86831162885497,151.01925122449296
NLD,182.4539001289681,119.56113824469847,59.0582010106282
NOR,87.88567184575838,62.667286502628336,33.41114215602923
NPL,355.1942649089479,360.50090911272173,360.69207389808554
NZL,7.384845591552902,9.227362089427173,6.965101617569378
OMN,359.4783767508871,356.11610575582796,351.7376515642251
PAK,363.00494570863253,363.25872880687575,363.7520947676281
PAN,142.13010141077214,274.78726188446524,195.7892706351883
PER,47.506274540331404,126.82523359520586,222.37638282547016
PHL,288.4309421055928,292.3783400097269,266.2467167653792
PNG,34.49058072738028,26.209318257788972,36.020639174101106
POL,207.27987253796178,171.4681766680372,100.74153615873674
PRI,76.73743708953307,114.93957391219722,102.13592832063993
PRK,353.8228991948612,354.3025272316792,348.6325167831396
PRT,103.10274990856759,102.21408286676802,70.09370240824656
PRY,104.47073124742526,95.63504547221952,156.79298707799717
PSE,361.2742280659859,362.9189086172408,364.3376470046924
QAT,365.0,364.0306383078827,366.0
REU,8.0,14.999999999999998,10.0
ROU,214.33850637802263,166.37075304818543,97.00234488686336
RUS,157.96408415709283,136.8338774534118,140.6526586456756
RWA,365.00000000000006,365.0,366.0
SAU,355.3154262328023,350.8837542309141,358.2827729373253
SDN,329.9677779427849,339.66972882785063,309.96144814951333
SEN,348.4846260931762,360.04694365680115,353.2469452697686
SGP,344.08733725960946,352.7281098180642,302.6503864327202
SLE,243.87971862739855,242.92066681481435,264.80798826242244
SLV,290.43758901933154,328.37107767873795,314.9916902780895
SOM,124.6755807068566,108.67655682216696,93.08562641241522
SRB,221.03634875143882,188.32937859159742,99.34542544230622
SSD,193.051639693964,197.69796494775068,197.21781725781435
SUR,102.72286577358922,174.0339018121298,150.53592527917655
SVK,229.73827166498694,202.21827632585533,111.76561488539207
SVN,248.76274488717218,250.39741172049582,174.4335848494235
SWE,45.525462169066394,28.84451426754814,13.479915001601654
SYR,350.2320032714395,353.4077852074736,356.2057374026336
TCD,329.12255400979365,327.3936000573435,323.85884984344045
TGO,223.8422582770197,274.2114647062254,296.5557620813438
THA,355.21554768428615,351.4682859534952,354.2374889548994
TJK,344.1639590360347,301.64924847952693,301.6047873449838
TKM,302.5011902127532,282.3027395473962,285.3588365404755
TLS,14.0,23.0,19.0
TUN,308.9097621187015,307.6152076345898,318.5832448231612
TUR,212.2724701620728,169.38362607122775,148.47061878669072
TWN,351.4154487782464,355.0655434388898,344.759147342303
TZA,177.39612318862766,199.4931401830429,194.9633026151435
UGA,352.85076898150277,351.69705552443514,354.5210776982874
UKR,135.06689318529442,106.65469638822957,69.39694873598285
URY,28.88809307954125,29.039525146368895,39.27704400563916
USA,222.29551086402856,203.81398527754348,165.70047569068413
UZB,339.7113314167168,326.14222147970395,342.39486164702157
VAT,260.2690759452913,268.9653613442753,216.7040190745907
VEN,258.06384448336524,251.0506416957782,242.34967858723368
VNM,346.5850631823871,348.22572710972486,346.5533114199322
YEM,294.0700172812911,309.1081444976269,326.6777560690505
ZAF,289.59958805994233,299.71910441684264,315.4219690124853
ZMB,179.82383438231864,190.8841149391949,192.32369889657096
ZWE,218.16073048205806,216.87224931162797,184.93948535437576
