,country,urban_built_area_2000,urban_population_area_2000,urban_built_area_2005,urban_population_area_2005,urban_built_area_2010,urban_population_area_2010,urban_built_area_2015,urban_population_area_2015,urban_built_area_2020,urban_population_area_2020
158,TLS,7634783.756862739,75785.21477444877,7853104.0745098,96919.6085458364,8073970.14509804,125819.35766714136,8267318.086274507,177434.50384019187,8345596.850980388,233984.70913628972
159,TUN,225919284.07058847,2042786.256941347,240614078.0313724,2183142.326632548,256182002.90588194,2349186.6165728346,270545115.61960787,2596714.207398797,278765380.05490226,2852766.0839415966
160,TUR,860733878.4313728,18393595.804495312,930124241.9450982,19895743.0590545,1004038725.0941164,20892231.471595686,1078287087.8666663,25495032.903938174,1142975204.8823526,29095983.308031574
161,TWN,572277235.7137241,11136077.665835489,600571662.2117654,11638194.728179978,630223848.0313743,12256369.099544166,659769941.6745099,13051962.144650426,685770751.2901981,13527673.958181757
162,TZA,363821465.1372538,3752763.968400484,393885150.1921569,4719707.502668272,432251199.9568628,5937290.071912665,471797255.5254906,7505811.880191418,487714402.3686268,9453795.680568753
163,UGA,131368774.0509803,1577641.0252975633,144473296.87058824,1900633.3245220426,160044315.48235372,2288730.2221771,175106774.31372556,2793850.1797119915,179368794.50980398,3420666.9432869647
164,UKR,826473923.9568626,11286847.803062033,856499579.2352937,11079815.541230233,887641613.9098041,10771368.169636,918254418.7607834,10986303.364970507,943598139.858824,10846989.047494378
165,URY,105174415.12156864,1367824.274912712,108232681.80000015,1378377.7646594488,111410679.43921542,1389053.6827720357,114453821.21960817,1399143.7150986467,116839207.1843137,1412524.6053892644
166,USA,19493310653.650955,127728185.0668731,20606711415.8431,133723898.86223629,21805464987.65096,140992177.97297192,22929127462.094105,148411106.25762054,23525622363.023483,156831190.5136269
167,UZB,770185924.2117649,2528314.8514610683,823633987.6156876,2513172.0618951363,882611663.8862745,2642710.6278575007,939011400.698041,3139719.9388207817,968447302.3176498,3768453.757936079
168,VAT,99967979.4039218,586.5389459133148,103994510.70980431,605.223433971405,108213331.7490199,612.4304661750793,112115370.78431383,620.1342856884003,113934861.06274547,635.1771292686462
169,VEN,589939941.5294118,4513403.818703502,625200258.1176473,5005568.099402188,662773614.9529415,5546721.805404545,698388606.3137257,6733543.992199221,719862884.2156864,7412169.525362411
170,VNM,672772075.1137258,12489303.83472254,801948485.6039232,14404987.759816656,950222915.7921599,16448893.580237938,1085146071.5921545,19162431.819587458,1118485914.0941148,22020088.05991961
171,YEM,61712295.59215687,1443578.0436035967,64300734.3254901,1704064.9897561967,66968844.18039213,1974043.5700095776,69709985.01960792,2362968.372005927,72492135.43137252,2647688.0231313496
172,ZAF,1464203984.4509802,13820514.050094618,1524721100.2549002,15558050.034149222,1596963875.682354,17478702.19381755,1673512424.1254852,19601310.63037007,1735654850.3176413,22080240.710069552
173,ZMB,208087014.3921566,1217665.4362056528,219038130.96862748,1477592.1711948807,231266607.31764722,1848803.2753033165,242750476.8235296,2463788.3337888336,247777882.45882368,3107593.806670256
174,ZWE,134275793.23529425,1421238.845710924,142140115.51372564,1501299.100952648,151497905.83529422,1563989.6619855294,164048781.63529417,1710269.3477857097,184677858.45098054,1753486.357575059
