,country,pop-averaged_exceedance_days_2010,pop-averaged_exceedance_days_2015,pop-averaged_exceedance_days_2020,pop-averaged_exceedance_days_2025
32,COL,261.8634082,287.4511964,287.5577681,281.5396837
33,CPV,183,217.7353377,230.2679564,230.8924211
34,CRI,100,120.546735,126.3944246,118.2327307
35,CUB,131.0576371,128.5012911,130.884722,125.7742354
36,CUW,177,195.569126,186.2519799,173.690892
37,CYP,237.0188949,212.2246157,219.8104938,239.8127854
38,CZE,251.5795771,237.4608042,212.794994,212.4786236
39,DEU,185.6213748,161.1013186,130.0021953,128.5692863
40,DJI,298.858374,291.1416658,270.7184593,269.7620504
41,DNK,47.78046179,41.51439187,30.95371841,39.96582349
42,DOM,245.3094551,233.4178012,232.3170644,226.417145
43,DZA,270.7199176,283.5497511,291.21267,298.6074876
44,ECU,194.016793,206.2712503,210.1991044,208.9698106
45,EGY,354.6075765,353.7130901,354.4905149,355.9410025
46,ERI,276.2007747,272.5999163,260.0733073,254.1987315
47,ESH,111,125.1192386,114.5316927,118.7016287
48,ESP,125.4070902,125.7473079,110.2802887,109.8852204
49,EST,92,68.91238962,57.81151847,70.28102769
50,ETH,346.6640759,342.6440312,341.2536145,344.389167
51,FIN,179.2441588,156.4542215,121.7959389,122.0769761
52,FJI,4,3.491466754,2.288464382,1.942070496
53,FRA,219.8530638,196.052002,160.3854311,148.1385232
54,GAB,306.2807719,309.6665322,319.0006085,320.9807056
55,GBR,175.0312615,139.0041368,115.3231228,109.4159955
56,GEO,160.342594,138.4897235,119.9187807,119.7642446
57,GHA,277.9156406,293.1505209,303.3141279,301.5360931
58,GIN,285.53147,289.3942002,299.3806551,298.1150722
59,GLP,114,126.4408717,122.9511696,118.3962788
60,GMB,333,339.3300593,338.2045204,336.9135192
61,GNB,299,300.6320519,298.8466523,297.665197
62,GNQ,182.7755273,203.4645497,205.4185295,206.8425864
63,GRC,211.081419,180.6306959,153.5062705,149.3855255
64,GTM,335.0309645,338.5356788,336.7629106,338.6787026
